ID,NAME,SERVER,BANNER_IMG,RATING,BRACKET_WINS,FLAIR,H,STATUS,J
00623975-8a09-4ebc-bbe5-0ef19d5a96cf,The Storm,231,,584.3769536,0,,,Active,
008999dc-a449-4070-8842-d80d70f38f27,franco'fighters,111,https://drive.google.com/uc?export=view&id=1HTmHEgbXNWMjuPVZ2jDPoVphawColTgC,629.8900697,0,,,Disbanded,67110212
00e339c0-c7f9-4c26-b0d8-ed36549c173c,LION KING [JPN],457,https://drive.google.com/uc?export=view&id=1gukx2dvz3VgcuY5PBYVI0-62s-Wt2JDB,619.6185147,0,,3,Active,
01412fbf-df11-419d-9ae9-5dd06f789c48,Knight Templars,284,,554.0989959,0,,6,Active,
01a13655-097e-4348-8b63-3376081331f7,Demonic VengeINTs,97,https://drive.google.com/uc?export=view&id=1WAb7Yu22fX87qOfC0tQZAS9i8tjKFm8v,600.931343,0,,1,Active,
0239c21d-214b-4fdf-b9c2-6a907d711cf9,~ France ~,47,,555.860847,0,,,Active,
02b5f754-bf2e-4e82-9b21-9f580e34676c,Light Fury,313,,597.0113502,0,,,Active,
02d14141-665a-4c9e-8716-95f0a79605bc,Clearly Legends,140,,583.3556719,0,,,Retired,83896615
02f3f062-620a-457a-8700-75c2d14e31a7,Squirters,398,https://drive.google.com/uc?export=view&id=1yYbAGS4dMmpIrpvZ_ds5iqgE7F0ZRmAt,694.2937086,0,,3,Active,
03bcb290-e9c5-4dc8-bc86-7b9a88ce76c5,Phoenix,333,https://drive.google.com/uc?export=view&id=1-x9R0dy9fdY3zcU3U5kNg74nT1KU5ngt,696.8122547,0,,4,Active,
042384ee-1400-4c88-8945-3d1753bb1809,Total-D,168,,605.5796775,0,,1,Active,43155
0473941c-8fe5-4967-a3d1-fbc7ff1a4ed1,[I.A.F] 放蕩者的茶會,123,https://drive.google.com/uc?export=view&id=1SLu5xkN2dMLfU6vrZkCS2Xb4vR_F2_WU,689.8528117,0,,4,Active,
04c9e67c-ed32-4b32-b989-078a9ab80400,VERðANDI [FATE],173,https://drive.google.com/uc?export=view&id=1_2s5pS5CFuoRwzSHwhXKiimzCA1bkv4b,716.3617574,0,,4,Active,33679
04e3cd25-0651-4a5d-9587-0aca916282c8,Abyss,100,https://drive.google.com/uc?export=view&id=16cxQTmdNYDVcHbXRUG2XpT-Rn9NJ2c6r,733.8202346,2,,3,Active,
053619a6-d12e-46ec-b5a1-e123484da153,TOP DOG,257,https://drive.google.com/uc?export=view&id=1TRC-cLTVq8ltKbDyY-WrjT_OaQ6v78Hg,614.9990614,0,,7,Active,
05b87bce-87d6-4513-98fc-5170075729eb,Maelstrom,94,,582.6669925,0,,2,Active,
05eb3d73-1c31-4560-a450-b4a5c61b0454,Invictus,93,,583.0087923,0,,3,Active,
05ffd73a-7be5-40b7-a942-a146ea5d1d84,Gravy Boat,141,https://drive.google.com/uc?export=view&id=14vUwJeCeaM_zltdcTY4d1OJvXKJCe1S5,607.7268467,0,,,Active,
064fbfd3-de45-43c4-8a7e-fc40b891ab58,Ex Nihilo,259,,572.163929,0,,,Active,
0665c10e-9380-4201-a078-519507f60634,Jaguwar,289,,583.3472136,0,,,Disbanded,
06ed47fd-16d1-48c3-be01-2726ab6fdd33,VØØĐOO ฿ⱤɆ₩,361,https://drive.google.com/uc?export=view&id=163AkLn_-68vqUh8q2tnwy5-USkWT46KA,602.3457812,0,,,Disbanded,
070516be-9f5e-4bde-856e-aa148a403731,FLAAADS,113,https://drive.google.com/uc?export=view&id=1M9fD6ZgHHaeNiMzlKMSQ_6MCJV1D7UX8,599.7100985,0,,2,Active,
076f1e17-acb0-4ba3-8e2b-9d2474c23b9a,Fire Team Espérance,170,https://drive.google.com/uc?export=view&id=1LotBd3B9lHQjsBHCixf9ojwZKYEFXp4P,646.4438675,0,,5,Active,
07b0350a-1772-48aa-b735-34b909f2f467,Crabby Crab,248,,571.6918019,0,,4,Active,
07f551c3-b14e-4a8c-bae0-732c51bab2d3,THE RESISTANCE™,178,https://drive.google.com/uc?export=view&id=1I5wtljwRCaoJ3vRd0cfR8WgI_cmJqIEP,643.5295498,0,,4,Disbanded,111898
08b2ac5e-58ed-4193-b486-ad3b5597aa3e,Lightning,192,,594.5401664,0,,,Active,
09333437-f486-4497-8ffd-a20835c79ffb,Vikings of Mayhem,97,https://drive.google.com/uc?export=view&id=1g6nuRFqIYYqvjD5DJOlWqvpWH_9tWZHr,669.2087003,0,,8,Active,
098a1698-43dd-45fe-a7be-7e78990a60fa,Mystic Hurricane,150,,610.1398905,0,,,Active,
0a1ec1d5-64b5-4672-9c2a-93622223502f,Ragnarok,192,https://drive.google.com/uc?export=view&id=1vxjvGD3_WJqyGTmcugddoHJAiBe3zX0v,640.8902733,0,,6,Active,
0a8db991-16a3-4479-a6f3-5e7bc859271e,JAG,251,https://drive.google.com/uc?export=view&id=1RRfyjxmLRjLQjqOrOazyf5WTB7JiHF2F,688.8118853,0,,,Disbanded,
0adf7d30-2bba-4c14-a85a-2e930f4ec63f,Odins Zorn,96,https://drive.google.com/uc?export=view&id=1YOA8QoKvPoTc13NDItxeDCHfTllbFIog,675.0684183,0,,2,Active,
0aeb220b-451a-4d2e-8c3a-eb5ce37cf809,Kingfishers,77,https://drive.google.com/uc?export=view&id=1AWJ5Z3VrLfMe7S6z43CUEZJm1VeNtkce,632.7977849,0,,2,Active,
0afa8828-265a-4d03-b898-c20468425d1c,Germany,101,,577.9388849,0,,,Active,10973
0bec9e8c-596e-41c0-9b27-d6c9d9789952,Regulators II,108,,538.1398095,0,,7,Active,
0c9e63de-85a2-4fdf-b9f1-7817c660bd07,Spread Eagle鳳凰,124,https://drive.google.com/uc?export=view&id=1ptlt-IdA4KPRFO1ch-AFYJ5utM-l01LU,700.65,2,,,Retired,
0cc6d717-fd4d-478b-a73c-3ba6c2cbad55,URðR [FATE],173,https://drive.google.com/uc?export=view&id=1zIkA1NsMPq9cjiRNR8oINHNheBTcSQ6E,635.1383254,0,,,Active,
0cf78829-8066-4f92-ae9d-2f6efbf9a7ca,ASGARD,239,https://drive.google.com/uc?export=view&id=1twAgqAMOvaC4ozhQMYWRILltAMi8MnjD,583.845874,0,,,Disbanded,
0d3f484f-eb40-43ee-9ee8-f7da735ab2a1,Barun's Ohana,245,https://drive.google.com/uc?export=view&id=1g5Hxv6U_v-CDd5WI_F8jjJ3PF9eX2D17,587.8,0,,,Disbanded,
0d5fed0c-ce26-49ad-b5b4-03f596658a96,Infinity Gravy,141,,546.8825923,0,,,Active,
0d64d682-d405-4ad6-9150-9144f48aa741,United,58,,569.9647851,0,,,Active,
0d79da7b-e552-47a3-b05f-9e9292de60cb,Imperial Knights,221,https://drive.google.com/uc?export=view&id=1d76Gqc3jqI1NJGbjIn_avBe_ommxghmE,610.145137,0,,3,Active,
0e2fa1cc-66a3-4fa6-8326-e60ef2b12d41,Devils,114,https://drive.google.com/uc?export=view&id=1q3u-BMlDZzWZy0p73--WVcSeCf-UojuD,583.6879478,0,,3,Active,
0e73c832-19b9-4ceb-9c74-cf7d9d77e7c7,FREY,184,https://drive.google.com/uc?export=view&id=1BeegfZ77aD8UOXRzCPkwfsT7tbEtzbt7,688.6679483,0,,1,Active,
0e913e8a-5321-4d07-9519-1725b0b9ee1e,ᴀɴᴏɴʏᴍᴏᴜᴤ﹠ɪɴғᴀᴍᴏᴜᴤ,232,https://drive.google.com/uc?export=view&id=1xOnp7B4lIYV9RdGAA-ADfWDfu6Lp6NhK,760.9846503,0,,3,Active,49729
0fa40500-7072-45e1-89bc-142810dd5c5a,Solar☀Slayers,315,,537.622487,0,,3,Active,
0fd2de25-b234-41ad-8b98-a6280b9d069d,Tempest Council,182,https://drive.google.com/uc?export=view&id=1PXlIzd-qUdveS2eyIZSkxaylX_fe11EJ,647.3,0,,,Retired,
1002a9d8-00f0-4fc3-b765-fef927dfd65c,Affinity of Usurpers,96,https://drive.google.com/uc?export=view&id=1-KGBrQAh5ra5g5mgZodeUbRjB0tyCO_u,666.6285632,0,,7,Active,
101c1e68-1462-4443-b977-604b3a9cef9e,Champions,446,,561.2399719,0,,1,Active,
104d00a1-2c3f-4e28-8031-e3b1e34dd408,Tropic Thunder,146,https://drive.google.com/uc?export=view&id=1UpGf7ojxf3YEijRs0B0ZP4QXvpoBlfwK,566.4310461,0,,,Active,
10883be7-bd48-41bf-b3d7-11d8b2c31163,Freedom!,201,https://drive.google.com/uc?export=view&id=1ksabGkCPao8IM3X8Ph4zwj-5-KaSn776,504.1885597,0,,2,Active,
10e5199c-2e24-4ba6-8523-c25085686ed3,Liquid Red,248,,559.2697019,0,,2,Active,
10ea2df2-2544-4ea3-8f0a-5d5f0a9c8d0e,Valhalla,114,https://drive.google.com/uc?export=view&id=1hq5_8xPCZeR49aEBYp2QJYTGMHHpg-Ah,647.1641937,0,,,Active,
116289f5-986e-4fee-a95e-19a097da5aeb,乃ﾑり & りﾉ丂んの刀の尺乇り,50,https://drive.google.com/uc?export=view&id=1ORDyPrEmiAFVt5OBLnOW4q83mLiVTwQL,597.3139533,1,,2,Active,
11a66bc6-1b2e-448c-8f73-dc3178765a16,Power House 2.0,89,https://drive.google.com/uc?export=view&id=1NftAW-fTHfkKMIcKFSRe4RHe2FpTQpNb,639.6356316,1,,,Retired,
11d75c98-e674-437d-8181-b547cc04fdf4,Rebel Horde,135,https://drive.google.com/uc?export=view&id=1Rb_lL4VAUBmq7H_8tt0n0pwIG0lVrxOp,579.26,0,,,Retired,
11d95ab3-cd3b-4d38-8104-e707421a9111,ῳıƈƙɛɖ ζΦmρληγ,299,,556.4166862,0,,6,Active,
11e69488-2ac6-4b63-a1d8-8e74e6bdd880,ωιξκεδ ιиκ,294,https://drive.google.com/uc?export=view&id=1PPzOc70euHmtMx6kNeZczfVEsR9paTAu,544.7435304,0,,,Active,
12449ad6-b3f2-4295-a7b2-9c57a2a16450,Sᴘɪᴇʟғʀᴇᴜᴅᴇ,96,https://drive.google.com/uc?export=view&id=1oojkMD0Mg4lRHkGr_bHtnaSH1rpalb_v,656.2273462,0,,,Retired,
1295531e-7a92-444c-a0e3-3146215329aa,时代 革命,214,https://drive.google.com/uc?export=view&id=1XdUD6bIw_G9k7cjuP24BfZU67pl6mN0i,551.8635211,0,,,Disbanded,
12cf8eb6-4170-4442-98b5-27eac3e3c4cb,L4D,59,https://drive.google.com/uc?export=view&id=1TPwM26tLtIskW9jGRX8IoTJGNYFCryRr,541.8269382,0,,,Active,22315
1329320b-0c6f-452b-a430-0edec8653b38,Undead Rises,196,,606.0844494,0,,3,Active,
13831d13-be84-476f-bae6-7c04ae2ecc58,Rising Tides,104,https://drive.google.com/uc?export=view&id=1kcA7QbpGMKfKiv5Q9ZbKY-UNnSwbsx-5,654.1160805,0,,2,Active,
13b84764-f198-42ae-b20d-141556a29fa3,Ŧʊяʏ σƒ тнє ψıςƙɛ∂,434,https://drive.google.com/uc?export=view&id=13hqBfIiHEezEfbzWu2BJS0-CDsshhtU2,584.1812278,0,,,Active,
13be1e8f-2ddc-4b0a-98cc-055e95f464f9,Prometheus,166,,528.9610931,0,,,Active,
13cf32c9-4f0c-4f32-9e6d-b24a25e65a91,.38 Special,33,https://drive.google.com/uc?export=view&id=1elDED_e7WkO3vh7a0LXWrtzeAOQRrqqm,589.43,0,,,Disbanded,
13e52f34-a7d7-4e3a-9f01-676ef59310a2,Việt Nam No1,150,https://drive.google.com/uc?export=view&id=1fGrPY02MM7t8urcrEA0m01gPd32gHavp,598.4688077,0,,5,Active,
140b16d6-d0ea-4184-9ac3-2ad7bab5aaba,Akatsuki,420,,555.9972187,0,,,Disbanded,
142ce20a-e301-45fe-855b-f045a42490ba,Whiskey Valor,41,https://drive.google.com/uc?export=view&id=11IoL-qlVm2IRy02xcEyxoiMrxa8UMwqZ,589.7516494,0,,,Disbanded,
14315055-da52-4b8e-89a4-fc5fb434673f,Legion of Lucifer,88,https://drive.google.com/uc?export=view&id=1I4b1re_ucmlo7VO75rpBsvilZfulBoR2,589.0213421,0,,2,Active,95896
143c90c5-b5b9-4eef-9e46-c870b2507d0e,Elysium²,136,https://drive.google.com/uc?export=view&id=1UoGFbo0wBCMV8xaqJ25gKZaesEg7j2Oe,701.0860175,0,,3,Active,
14644d0d-9c7f-42df-bef1-5ddb3eadf658,FairyTailers,32,https://drive.google.com/uc?export=view&id=1iOljSPMLagLb6ZPUkWAxcAhOz_uQiZIC,566.58,0,,,Retired,
14925ce5-f91d-46ac-bed4-43b2ccc1bdad,Unpredictable,201,,550.0491895,0,,2,Active,
149bb55d-cd8e-4c93-9298-19af76ad56ac,GOONIES,299,,526.1071365,0,,,Active,
14bbcfb4-2028-4b56-b899-40a957180691,群龍會DC I,251,https://drive.google.com/uc?export=view&id=1FglH-mS_bWkQZ_i1817WyDZKxXrWnErn,717.1997932,0,,1,Active,
14db27bd-d518-4662-aeb0-52901cdaed9a,Cartel,198,,574.9311625,0,,,Active,
1547fd01-ea11-4b4c-bbf7-ca3f2eb83443,pixel mother fucker,33,https://drive.google.com/uc?export=view&id=1Nr4t65nnUCBfRp4oyAaQtO85A2sJUX_e,561.27,0,,,Retired,
160bfdaf-ab51-4429-94c1-919bdd31c3f5,THE IMMORTALS,283,,562.7879274,0,,,Active,
16190153-457c-41c4-af7d-afd7ff0e4411,Omega Minds,317,https://drive.google.com/uc?export=view&id=1OOH7exxSGSf1fP6-J0ZIj1pILWIIduXJ,687.4864677,0,,5,Active,
161c6cfe-a351-49b9-a908-55c2a0592567,Rebel NeXus,143,,536.3907699,0,,2,Active,
164dbd16-42b9-4f23-b8ac-878f23e8c4b3,Ragnarök,157,https://drive.google.com/uc?export=view&id=1OL-3ZqbNB9m3h27fz6sGJb5o8IhjMzl5,656.3666587,0,,2,Active,
1685d829-7aa0-49e1-94fe-8119381f5add,We are GS Guardians,199,,633.8681662,0,,5,Active,85890
16b944d3-cac8-4016-82b1-98134179354f,Sleeping Forest,142,https://drive.google.com/uc?export=view&id=1sBCSPQ850G5S3_pNwWfzzAZf1yG8o-uL,602.04,0,,,Disbanded,
176eae63-646f-47cd-989f-f260373b9117,The Hidden Leaf,96,https://drive.google.com/uc?export=view&id=1Ii4EjPzVXzIkUQCTfA4o73rArVRC7q87,693.5929223,0,,4,Active,
17f50227-2f32-45ec-b720-e17c51356a9c,Thanatos,75,,506.8940836,0,,,Retired,
195ddafe-a4d3-4591-a60a-c0d59e151afe,EndlessWars,254,,614.8768302,0,,6,Active,
19ae5ecb-e64c-463f-b44e-fd0ab2c974b2,Olympus Militia Gods,273,,583.9053486,0,,,Disbanded,
19f72b5b-3d6e-41fd-b9ab-20db10210466,Northern Monkeys,415,,564.0261446,0,,1,Active,
1a128faf-992b-4106-9691-570dc6dabd0e,Suicide Squad,305,,552.899146,0,,,Active,
1abb826e-8c89-42fb-b52a-0fb4d3be07b5,Vinland Saga,28,https://drive.google.com/uc?export=view&id=1C6KKkgBiORlMgpvAvwPg6JGtM2faRms9,756.002231,0,,1,Active,23546
1b4e57c9-040b-4ff5-b985-da931757ab49,Cybertron,131,https://drive.google.com/uc?export=view&id=16I-tw23sFmsGphH3seF9a8tLFTp9rrnH,669.4811074,0,,3,Active,
1b5dd8cc-cfe8-4998-8d69-47c7fe628dee,The Devil's Rejects,47,,591.9346576,0,,,Active,
1bc65935-4e60-4fb1-9a45-3c609396a9fa,Has-Beens,187,https://drive.google.com/uc?export=view&id=1NnnptGVzpuHQq37aulla1FS-CYEmSu5n,632.0799232,0,,4,Active,
1c743cf9-581c-478a-91e1-b4dbc8698431,Wïçkéð,73,,593.9277044,0,,,Active,
1c8b00d7-8ab9-4e17-b1cf-3cfc717b16ea,Darkness,165,,535.2875722,0,,,Active,
1cc7443f-bc60-4366-a4c5-1d86c7e3ada4,Rising Phoenix,214,,605.1188026,0,,,Active,
1ceb8802-84c0-4405-8056-00b7cb242fd5,Celts,58,https://drive.google.com/uc?export=view&id=1axKpKfRlMtmi2n5Tr6n3Yi7tXatlAASJ,652.3065392,0,,,Active,
1d1912a3-1816-4d71-9de6-6d72409cf0eb,Dark Side,129,https://drive.google.com/uc?export=view&id=1eVMeaL7Vipx1Vu31R5VkuLhuHTm2RZEB,544.4558343,0,,1,Active,
1d9cbc8c-d8b4-4eda-95ae-8ba9e3b04639,Omega,193,https://drive.google.com/uc?export=view&id=1hDFIgPnkhtn8RB8DWLUTpu9xXlMA4w4w,688.2750589,0,,3,Active,
1da02f96-4a76-4c65-b5f2-918d9eb9b112,🔥Wildpulse🔥,103,https://drive.google.com/uc?export=view&id=1P_zzqCr8TEUShZb5Bv3bdASmOC871sRB,791.4556798,17,,1,Active,22853
1df55767-bc37-421f-a96a-5a8c5d241c64,INDUK,124,,537.1603459,0,,5,Active,
1effb873-7cc3-4676-8c1e-4923f49a3b84,Mutiny,267,https://drive.google.com/uc?export=view&id=19MyJUbUS2Hecy-aQqOql7s7WKpknp1ua,632.2043724,0,,8,Active,
1f310861-b1c5-4c5d-b912-4d9608dcc35b,Goethes Faust,13,,564.4588444,0,,,Disbanded,
1f3983fc-e114-436f-84d5-d77fedd2f0d4,The Way to Chaos,154,,608.4343437,0,,,Active,
1f58aa4e-bc7d-46d4-accf-cb700d8ad9da,Above Syndicate,2,https://drive.google.com/uc?export=view&id=1iVqUes-kugFeGPyPS53aC6Bm-V5-vhh5,655.848399,38,,,Active,
1f8dc2ff-7fbe-4be0-9865-e83fba0031ab,Heroes of the North,314,https://drive.google.com/uc?export=view&id=1KwXJUItS5Mi6yQBVQQ5eKCrReMLo0Rcz,602.8524139,0,,,Active,
200a4c7a-82d5-45cf-b1a2-4b761bcdc7ba,Revo|TT,96,https://drive.google.com/uc?export=view&id=1vsjVPayvfE_kIzwJhd_vRXOA6SZpQx4-,604.4332275,0,,,Active,102326
20317ee5-c5ba-4565-93bc-ca510cd61137,RESILIENCE,177,,620.6301364,0,,,Active,
205caa4b-f3ce-4489-aa6f-8dfed2410826,SOLARIS [QE],177,https://drive.google.com/uc?export=view&id=1cwGF9HGSh0y09Ee4tAHd787nzEjWQtsp,621.5435376,0,,6,Disbanded,
20765e12-3a8c-46cd-a41b-5152c7d2aebc,Æsir,430,https://drive.google.com/uc?export=view&id=1gluMHvEy39ZjWRGzNUg7oqa4KgQDiFkV,592.0853272,0,,1,Active,
2076a65f-db54-4b58-89e5-40f26291ba68,₲₳Ⱡ₳₵₮ł₵₳ TG1,163,,554.1661275,0,,,Active,17569
2137bb8d-8002-4477-b85c-8d06fe1f2109,ςᴀʀɴᴀɢᴇ ʀᴀςᴇ,13,https://drive.google.com/uc?export=view&id=15FXetaqI_Ml06QWppevwp9n41XufHY2z,586.1630734,0,,1,Active,
217fc271-7b43-4c26-af91-5b8ecce83ded,Titans of Fantasy,94,,577.3983534,0,,,Active,
21d8862b-332e-4dd3-ba8c-09e999b500dc,FROM THE ASHES,20,https://drive.google.com/uc?export=view&id=1mWGd2dk9GpQ6YhC0oT-Re_CUapb-gvxX,618.9298945,0,,,Disbanded,
2206e9bb-1b03-4923-80ce-2d9548aeb88c,German United,76,https://drive.google.com/uc?export=view&id=1gMsAeLfhpSJMHkzgaxTh1JcPppcONx6F,525.2529808,0,,,Active,
221c7f28-e928-4d82-8421-bc041381c7c0,Beerfolks,141,https://drive.google.com/uc?export=view&id=1nvPHQag7nKEl1ypnKTsbYuX1pnYPkxGC,590.4655896,0,,7,Active,
22267a12-5742-40c4-86cc-419d060b973f,幻影旅団,214,https://drive.google.com/uc?export=view&id=1tDef2HrVHU5rMevqTLBpJggZ3QpWgYWV,787.5801971,0,,2,Active,100664810
225aebea-415a-48ad-8f2d-25288f431f08,The Kamikazes,141,,641.936779,0,,8,Active,
225c8a6e-8aeb-49a3-a78b-e8cbfdd15543,Phönix,216,,586.5778371,0,,7,Active,
22a77fcf-4d46-416b-8671-8307ccab71f6,Salvation,294,https://drive.google.com/uc?export=view&id=1CA9yyh5X9k7jPaNS6c644ZJowSp5N2Mj,514.3789435,0,,,Active,
22c1ba9d-d688-4eab-ad47-4cb01ad4be11,London,116,https://drive.google.com/uc?export=view&id=1xC2uh2glhH_f6t0OS4phlYcWR4ElLdY-,567.9602058,0,,,Active,
23455301-d973-42e5-ab52-4a05edd2c5fa,☆S.H.I.E.L.D.☆,299,,614.1072674,0,,2,Active,
234a8715-aa7a-421f-982a-27af32291fd3,RED LANTERN CORPS,457,https://drive.google.com/uc?export=view&id=1EzLDKO_pjc47RWBx7lhq8LS9uF-goaNk,619.601975,0,,,Active,
23a7d252-77f5-4b8d-8d73-84ca8e6599da,Gaya,28,https://drive.google.com/uc?export=view&id=1AwrSDy5d1Cg_qk2hXvh0ckRW4YL9BoVL,755.600484,19,,10,Active,
2438c364-5d69-454c-b054-3ceaa87b770f,Midnight,121,https://drive.google.com/uc?export=view&id=1UCjSOdm48XL3aTpie7W390DBQsUSTEqR,731.9026904,0,,3,Active,
24576395-b2e1-4747-9790-8cfa881c584c,星辰大海 Sea of Heroes,88,https://drive.google.com/uc?export=view&id=1p4HuGE9W7ILA7eB_EGaZ_tMlR8X3y8o3,645.2191597,0,,6,Active,
2466756e-8527-4c8f-b7a7-cfe4315bad5c,take it easy,322,,526.1971022,0,,1,Active,
2498296d-4887-47d4-821c-24d43480f9f9,Shadow Knights,418,,587.8043738,0,,,Active,
253a1a78-4c53-467f-b94f-d5a6819df8ca,Sages' United,53,,568.3158791,0,,1,Active,
25f2b6c0-e106-4659-ade6-0accebe766ce,The Round Table,161,,585.7035251,0,,1,Active,
260132ff-16ee-42a9-9107-379601c76b92,CyberReign,206,,573.1697413,0,,4,Active,
260996ad-09dc-4143-a209-1917c1348357,France Team,94,https://drive.google.com/uc?export=view&id=1w683vsIGl-Am2jDn-ZDck_4Bk-oA5O0_,567.6658455,0,,7,Active,
263a9543-c836-480a-9ce4-10d241187089,ĐⱤɆ₳₥ ⱠɆ₳₲ɄɆ,181,https://drive.google.com/uc?export=view&id=1pYE3Bh6nRqO2OWGWtaZn_UpgXLp837dQ,637.87,0,,,Disbanded,
2647c7ad-ed5d-4dbf-a8cb-541b061a9eeb,Wolf Pack 3.1,426,https://drive.google.com/uc?export=view&id=15QTBMOqv34w8McpH5J_YLpNWVInroqH8,560.128826,0,,3,Active,
26754c33-4bdd-46b6-a17c-c45d5075a88e,Zenn-La,200,https://drive.google.com/uc?export=view&id=18gQhblHmMk1Jfk1dSrJBtzYOcQpsZsg-,652.9808765,0,,4,Active,
